Date,VIX
1973.01,NA
1973.02,NA
1973.03,NA
1973.04,NA
1973.05,NA
1973.06,NA
1973.07,NA
1973.08,NA
1973.09,NA
1973.1,NA
1973.11,NA
1973.12,NA
1974.01,NA
1974.02,NA
1974.03,NA
1974.04,NA
1974.05,NA
1974.06,NA
1974.07,NA
1974.08,NA
1974.09,NA
1974.1,NA
1974.11,NA
1974.12,NA
1975.01,NA
1975.02,NA
1975.03,NA
1975.04,NA
1975.05,NA
1975.06,NA
1975.07,NA
1975.08,NA
1975.09,NA
1975.1,NA
1975.11,NA
1975.12,NA
1976.01,NA
1976.02,NA
1976.03,NA
1976.04,NA
1976.05,NA
1976.06,NA
1976.07,NA
1976.08,NA
1976.09,NA
1976.1,NA
1976.11,NA
1976.12,NA
1977.01,NA
1977.02,NA
1977.03,NA
1977.04,NA
1977.05,NA
1977.06,NA
1977.07,NA
1977.08,NA
1977.09,NA
1977.1,NA
1977.11,NA
1977.12,NA
1978.01,NA
1978.02,NA
1978.03,NA
1978.04,NA
1978.05,NA
1978.06,NA
1978.07,NA
1978.08,NA
1978.09,NA
1978.1,NA
1978.11,NA
1978.12,NA
1979.01,NA
1979.02,NA
1979.03,NA
1979.04,NA
1979.05,NA
1979.06,NA
1979.07,NA
1979.08,NA
1979.09,NA
1979.1,NA
1979.11,NA
1979.12,NA
1980.01,NA
1980.02,NA
1980.03,NA
1980.04,NA
1980.05,NA
1980.06,NA
1980.07,NA
1980.08,NA
1980.09,NA
1980.1,NA
1980.11,NA
1980.12,NA
1981.01,NA
1981.02,NA
1981.03,NA
1981.04,NA
1981.05,NA
1981.06,NA
1981.07,NA
1981.08,NA
1981.09,NA
1981.1,NA
1981.11,NA
1981.12,NA
1982.01,NA
1982.02,NA
1982.03,NA
1982.04,NA
1982.05,NA
1982.06,NA
1982.07,NA
1982.08,NA
1982.09,NA
1982.1,NA
1982.11,NA
1982.12,NA
1983.01,NA
1983.02,NA
1983.03,NA
1983.04,NA
1983.05,NA
1983.06,NA
1983.07,NA
1983.08,NA
1983.09,NA
1983.1,NA
1983.11,NA
1983.12,NA
1984.01,NA
1984.02,NA
1984.03,NA
1984.04,NA
1984.05,NA
1984.06,NA
1984.07,NA
1984.08,NA
1984.09,NA
1984.1,NA
1984.11,NA
1984.12,NA
1985.01,NA
1985.02,NA
1985.03,NA
1985.04,NA
1985.05,NA
1985.06,NA
1985.07,NA
1985.08,NA
1985.09,NA
1985.1,NA
1985.11,NA
1985.12,NA
1986.01,NA
1986.02,NA
1986.03,NA
1986.04,NA
1986.05,NA
1986.06,NA
1986.07,NA
1986.08,NA
1986.09,NA
1986.1,NA
1986.11,NA
1986.12,NA
1987.01,NA
1987.02,NA
1987.03,NA
1987.04,NA
1987.05,NA
1987.06,NA
1987.07,NA
1987.08,NA
1987.09,NA
1987.1,NA
1987.11,NA
1987.12,NA
1988.01,NA
1988.02,NA
1988.03,NA
1988.04,NA
1988.05,NA
1988.06,NA
1988.07,NA
1988.08,NA
1988.09,NA
1988.1,NA
1988.11,NA
1988.12,NA
