Date,NBER,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WI,WV,WY,US
1979.01,0,55.73,69.90,32.12,50.24,41.38,37.61,50.75,48.22,37.00,37.72,58.24,37.17,60.87,55.61,57.09,,59.32,75.32,55.26,48.91,46.62,72.62,50.05,60.83,63.79,59.47,48.90,29.81,38.83,54.38,45.75,56.84,41.48,48.39,63.10,,40.31,59.92,58.86,46.87,43.63,44.91,,33.08,48.47,,,73.51,,62.05,45.67
1979.02,0,55.64,70.00,32.37,50.32,41.55,37.78,50.83,48.31,37.14,37.84,58.52,37.25,61.10,55.71,57.17,,59.44,75.43,55.20,49.00,46.88,72.72,50.03,60.98,63.88,59.50,49.02,29.96,39.00,54.57,45.81,57.04,41.55,48.50,63.20,,40.45,59.95,58.98,47.08,43.65,45.08,,33.17,48.73,,,73.28,,62.35,45.82
1979.03,0,55.73,70.22,32.63,50.52,41.76,37.98,51.14,48.37,37.35,37.96,58.73,37.34,61.24,55.85,57.39,,59.42,75.43,55.17,49.12,47.16,72.74,50.13,61.15,64.05,59.52,49.19,30.07,39.19,54.69,45.94,57.24,41.70,48.65,63.30,,40.68,60.06,58.98,47.31,43.73,45.12,,33.26,49.04,,,73.02,,62.70,46.06
1979.04,0,55.64,70.29,32.89,50.62,41.91,38.12,51.34,48.57,37.54,38.07,58.92,37.47,61.47,55.80,57.48,59.96,59.52,75.33,55.26,49.25,47.44,72.74,50.10,61.24,63.99,59.59,49.29,30.13,39.35,54.72,46.04,57.35,41.79,48.64,63.20,57.95,40.84,60.16,59.02,47.51,43.81,45.21,39.57,33.30,49.43,44.62,38.95,72.33,54.55,62.87,46.14
1979.05,0,55.56,70.45,33.15,50.76,42.04,38.35,51.52,48.73,37.78,38.22,59.15,37.70,61.69,55.76,57.64,60.08,59.60,75.26,55.35,49.34,47.72,72.76,50.22,61.52,63.99,59.68,49.39,30.26,39.51,54.92,46.17,57.45,41.95,48.99,63.33,58.09,41.06,60.30,58.95,47.77,44.07,45.24,39.74,33.36,49.74,44.80,39.19,71.95,54.79,63.06,46.37
1979.06,0,55.59,70.68,33.33,50.83,42.24,38.50,51.82,48.90,37.91,38.36,59.50,37.86,61.91,55.60,57.65,60.02,59.67,75.16,55.40,49.49,48.00,72.55,50.25,61.89,63.92,59.79,49.53,30.29,39.63,55.03,46.29,57.54,42.05,49.47,63.41,58.24,41.24,60.43,59.03,48.01,44.26,45.30,39.90,33.44,50.01,44.91,39.39,71.16,54.92,63.10,46.50
1979.07,0,55.49,70.73,33.49,50.92,42.38,38.63,51.99,49.05,38.05,38.38,59.75,37.88,61.92,55.44,57.70,60.09,59.61,74.89,55.60,49.52,48.09,72.25,50.21,61.66,63.66,59.83,49.48,30.44,39.68,55.03,46.41,57.52,42.15,49.67,63.33,58.45,41.40,60.44,59.15,48.13,44.48,45.31,40.07,33.54,50.10,45.10,39.59,70.73,54.91,63.07,46.62
1979.08,0,55.59,70.72,33.62,51.02,42.43,38.83,52.16,49.10,38.26,38.53,60.15,37.97,61.90,55.18,57.67,60.01,59.55,74.94,55.70,49.59,48.35,71.61,50.17,61.51,63.57,59.89,49.59,30.58,39.77,55.11,46.42,57.59,42.21,50.00,63.35,58.54,41.57,60.39,59.23,48.08,44.45,45.34,40.23,33.66,50.21,45.21,39.65,69.99,54.96,63.01,46.68
1979.09,0,55.51,70.76,33.67,51.06,42.52,38.91,52.22,49.20,38.40,38.66,60.41,38.01,61.64,54.85,57.61,60.09,59.62,74.93,55.83,49.72,48.47,71.09,50.11,61.62,63.27,59.95,49.58,30.78,39.80,55.20,46.49,57.57,42.27,49.92,63.31,58.58,41.67,60.39,59.31,48.09,44.52,45.41,40.37,33.74,50.14,45.32,39.79,69.61,54.97,63.24,46.78
1979.10,0,55.61,70.80,33.79,51.17,42.63,39.08,52.38,49.21,38.61,38.81,60.73,38.03,61.45,54.60,57.36,60.21,59.48,75.87,55.89,49.93,48.56,70.53,50.10,61.74,63.01,60.00,49.70,30.92,39.89,55.30,46.63,57.59,42.33,49.93,63.36,58.83,41.83,60.46,59.39,47.98,44.50,45.45,40.57,33.79,50.25,45.45,39.87,69.14,55.07,63.34,46.87
1979.11,0,55.69,71.03,33.86,51.27,42.82,39.22,52.56,49.34,38.76,38.96,60.88,38.21,61.15,54.40,57.59,60.32,59.41,76.41,56.00,50.06,48.69,69.91,49.93,61.80,62.91,60.06,49.82,31.13,39.97,55.48,46.72,57.69,42.40,49.90,63.39,58.97,42.01,60.55,59.38,48.00,44.59,45.52,40.74,33.89,50.35,45.57,40.00,68.72,55.11,63.38,46.99
1979.12,0,55.61,71.18,33.83,51.32,42.92,39.35,52.75,49.49,38.91,38.98,61.19,38.04,60.99,54.21,57.65,60.24,59.20,76.63,56.09,50.14,48.80,69.31,49.73,61.79,62.71,59.84,49.93,31.29,40.11,55.67,46.80,57.90,42.51,49.93,63.32,59.04,42.12,60.63,59.46,47.87,44.52,45.56,40.85,33.91,50.45,45.71,40.08,68.30,55.04,63.41,47.05
1980.01,0,55.54,71.07,33.77,51.41,42.92,39.42,52.94,49.62,39.07,39.04,61.47,37.99,60.86,53.96,57.62,60.11,58.93,76.81,56.20,50.24,48.92,68.37,49.65,61.85,62.41,59.32,50.02,31.31,40.16,55.88,46.79,58.01,42.61,49.99,63.16,59.30,42.10,60.55,59.41,47.78,44.32,45.54,41.00,33.92,50.39,45.84,40.16,67.57,54.82,63.35,47.09
1980.02,1,55.46,71.15,33.68,51.38,42.99,39.53,53.03,49.73,39.23,39.11,61.70,37.85,60.54,53.47,57.43,59.81,58.40,76.93,56.16,50.06,49.03,67.26,49.48,61.81,62.01,58.74,50.04,31.29,40.20,56.00,46.82,58.12,42.64,50.08,62.86,59.33,42.05,60.35,59.21,47.65,44.12,45.51,41.03,33.95,50.30,45.86,40.12,66.25,54.58,63.33,47.19
