Date,DI1,DI3
Aug-79,50,
Sep-79,42,
Oct-79,56,64
Nov-79,64,60
Dec-79,30,60
Jan-80,-2,34
Feb-80,-20,14
Mar-80,-72,-26
Apr-80,-84,-70
May-80,-80,-82
Jun-80,-84,-86
Jul-80,-58,-78
Aug-80,32,-68
Sep-80,64,22
Oct-80,90,74
Nov-80,92,96
Dec-80,92,98
Jan-81,84,98
Feb-81,72,96
Mar-81,78,92
Apr-81,72,82
May-81,64,92
Jun-81,50,76
Jul-81,32,62
Aug-81,-16,26
Sep-81,-38,-8
Oct-81,-66,-52
Nov-81,-68,-62
Dec-81,-68,-66
Jan-82,-80,-74
Feb-82,-56,-80
Mar-82,-54,-70
Apr-82,-42,-60
May-82,-44,-44
Jun-82,-30,-38
Jul-82,-26,-30
Aug-82,-46,-32
Sep-82,-50,-38
Oct-82,-62,-58
Nov-82,-40,-62
Dec-82,14,-38
Jan-83,40,-2
Feb-83,66,48
Mar-83,82,74
Apr-83,92,88
May-83,98,92
Jun-83,100,96
Jul-83,100,100
Aug-83,100,100
Sep-83,100,100
Oct-83,96,100
Nov-83,98,100
Dec-83,98,98
Jan-84,100,100
Feb-84,100,100
Mar-84,100,100
Apr-84,100,100
May-84,98,100
Jun-84,96,100
Jul-84,76,100
Aug-84,94,100
Sep-84,68,92
Oct-84,78,84
Nov-84,80,80
Dec-84,72,84
Jan-85,76,76
Feb-85,62,74
Mar-85,82,80
Apr-85,74,82
May-85,68,78
Jun-85,64,76
Jul-85,68,72
Aug-85,86,76
Sep-85,82,90
Oct-85,76,88
Nov-85,80,88
Dec-85,68,80
Jan-86,52,74
Feb-86,36,62
Mar-86,58,50
Apr-86,40,44
May-86,58,62
Jun-86,64,68
Jul-86,72,74
Aug-86,80,74
Sep-86,78,82
Oct-86,88,88
Nov-86,84,90
Dec-86,86,92
Jan-87,90,92
Feb-87,98,92
Mar-87,96,100
Apr-87,96,100
May-87,100,100
Jun-87,98,100
Jul-87,98,100
Aug-87,98,100
Sep-87,98,100
Oct-87,96,100
Nov-87,98,100
Dec-87,98,100
Jan-88,86,100
Feb-88,100,100
Mar-88,100,100
Apr-88,98,100
May-88,90,100
Jun-88,86,100
Jul-88,90,94
Aug-88,70,92
Sep-88,72,92
Oct-88,96,94
Nov-88,90,98
Dec-88,92,100
Jan-89,100,100
Feb-89,90,100
Mar-89,84,98
Apr-89,60,90
May-89,56,82
Jun-89,56,62
Jul-89,36,54
Aug-89,50,52
Sep-89,50,52
Oct-89,52,48
Nov-89,66,62
Dec-89,66,68
Jan-90,70,76
Feb-90,74,74
Mar-90,80,80
Apr-90,54,78
May-90,64,74
Jun-90,24,60
Jul-90,-2,40
Aug-90,-4,12
Sep-90,-26,-8
Oct-90,-36,-20
Nov-90,-24,-24
Dec-90,-38,-32
Jan-91,-34,-38
Feb-91,-34,-34
Mar-91,-10,-20
Apr-91,30,-14
May-91,46,32
Jun-91,60,58
Jul-91,66,68
Aug-91,70,68
Sep-91,50,72
Oct-91,32,58
Nov-91,12,40
Dec-91,2,16
Jan-92,36,24
Feb-92,40,30
Mar-92,48,42
Apr-92,66,64
May-92,76,72
Jun-92,68,72
Jul-92,66,84
Aug-92,94,82
Sep-92,92,96
Oct-92,98,96
Nov-92,88,96
Dec-92,82,98
Jan-93,92,98
Feb-93,88,88
Mar-93,82,92
Apr-93,94,90
May-93,92,98
Jun-93,96,100
Jul-93,96,98
Aug-93,96,100
Sep-93,96,100
Oct-93,92,96
Nov-93,92,96
Dec-93,86,94
Jan-94,92,94
Feb-94,96,96
Mar-94,92,96
Apr-94,92,96
May-94,98,94
Jun-94,98,100
Jul-94,98,100
Aug-94,96,100
Sep-94,90,100
Oct-94,98,100
Nov-94,100,100
Dec-94,100,100
Jan-95,94,100
Feb-95,88,100
Mar-95,70,98
Apr-95,48,82
May-95,36,58
Jun-95,72,58
Jul-95,66,72
Aug-95,86,82
Sep-95,84,94
Oct-95,86,96
Nov-95,80,90
Dec-95,90,92
Jan-96,68,90
Feb-96,86,92
Mar-96,82,100
Apr-96,88,98
May-96,92,96
Jun-96,96,100
Jul-96,88,100
Aug-96,92,96
Sep-96,80,96
Oct-96,80,96
Nov-96,78,90
Dec-96,62,80
Jan-97,80,80
Feb-97,96,90
Mar-97,94,94
Apr-97,100,96
May-97,100,100
Jun-97,96,100
Jul-97,100,100
Aug-97,100,100
Sep-97,98,100
Oct-97,96,100
Nov-97,94,100
Dec-97,96,100
Jan-98,92,100
Feb-98,92,94
Mar-98,86,90
Apr-98,78,94
May-98,96,100
Jun-98,80,92
Jul-98,52,92
Aug-98,82,82
Sep-98,84,94
Oct-98,98,98
Nov-98,100,100
Dec-98,98,100
Jan-99,76,100
Feb-99,94,100
Mar-99,84,92
Apr-99,90,96
May-99,68,92
Jun-99,86,90
Jul-99,94,96
Aug-99,98,96
Sep-99,96,100
Oct-99,98,100
Nov-99,98,100
Dec-99,96,100
Jan-00,94,100
Feb-00,96,100
Mar-00,86,100
Apr-00,84,100
May-00,78,92
Jun-00,60,90
Jul-00,70,82
Aug-00,78,78
Sep-00,66,82
Oct-00,72,84
Nov-00,76,80
Dec-00,44,68
Jan-01,30,70
Feb-01,26,38
Mar-01,32,36
Apr-01,8,22
May-01,14,24
Jun-01,4,12
Jul-01,-38,-4
Aug-01,-42,-20
Sep-01,-66,-58
Oct-01,-78,-64
Nov-01,-64,-80
Dec-01,-50,-74
Jan-02,4,-50
Feb-02,26,0
Mar-02,52,32
Apr-02,74,68
May-02,74,74
Jun-02,90,84
Jul-02,78,84
Aug-02,72,84
Sep-02,72,84
Oct-02,54,70
Nov-02,22,52
Dec-02,44,42
Jan-03,4,28
Feb-03,16,28
Mar-03,10,0
Apr-03,16,18
May-03,36,12
Jun-03,40,28
Jul-03,58,62
Aug-03,92,80
Sep-03,100,100
Oct-03,100,100
Nov-03,98,100
Dec-03,96,100
Jan-04,100,100
Feb-04,88,100
Mar-04,88,100
Apr-04,90,98
May-04,86,94
Jun-04,88,96
Jul-04,86,96
Aug-04,96,96
Sep-04,92,96
Oct-04,94,98
Nov-04,78,96
Dec-04,86,98
Jan-05,80,96
Feb-05,90,92
Mar-05,90,92
Apr-05,100,100
May-05,94,98
Jun-05,94,100
Jul-05,90,98
Aug-05,72,96
Sep-05,70,82
Oct-05,86,80
Nov-05,86,82
Dec-05,96,96
Jan-06,96,96
Feb-06,94,96
Mar-06,100,96
Apr-06,82,96
May-06,88,96
Jun-06,62,84
Jul-06,64,80
Aug-06,88,80
Sep-06,80,80
Oct-06,86,92
Nov-06,96,94
Dec-06,98,100
Jan-07,88,100
Feb-07,96,100
Mar-07,84,98
Apr-07,66,96
May-07,78,90
Jun-07,52,80
